Mandante;N° ID;Item number;Description in operating language;Responsible operator;Product;Commentaires CODIF;Infos nécessaires;Dent client;Review date/Payment due date;Bon pour codif;Temps d'étude (nb jour);Inhouse contact
AE;2104916;40;MECA SOUDE SAS;;CODIF;R20G21 - 900mm X 400LT GODET MAX AXS REPRISE PAR UA22 SANS ELARGISSEURS - DENT AE;Non;Non;21/11/2017;04/10/2017;10;PFR
AE;2104916;30;MECA SOUDE SAS;;CODIF;R20G21 - 600mm X 250LT GODET MAX AXS REPRISE PAR UA22 SANS ELARGISSEURS - DENT AE;Non;Non;21/11/2017;04/10/2017;10;PFR
AE;2104916;20;MECA SOUDE SAS;;CODIF;R20G21 - 300mm X 110LT GODET MAX AXS REPRISE PAR UA22 SANS ELARGISSEURS - DENT AE;Non;Non;21/11/2017;04/10/2017;10;PFR
AE;2104916;10;MECA SOUDE SAS;;CODIF;UA22H POUR TEREX TW95 - SANS ELARGISSEURS PELLE A CREER;Non;Non;21/11/2017;04/10/2017;10;PFR
AE;2104999;10;PAYANT SAS;;CODIF;R10S11 - 700mm x 110 lt - KQAT - DENTS AE REPRIS PAR QA05;Non;Non;24/11/2017;06/10/2017;10;VBE
AE;2104999;30;PAYANT SAS;;CODIF;godet vigne - 525 mm-pas de75 mm - KQAT selon plan joint repris par qa05;Non;Non;24/11/2017;06/10/2017;10;VBE
AE;2105007;10;LOUVEMONT TP SARL;;CODIF;R50G21- 800MMX600LT - DENTS AE - REPRIS PAR ATTACHE SW48;Non;Non;29/09/2017;;0;PFR
AE;2105011;20;ARDEN EQUIPMENT FOIRE/PRET;;CODIF;QA12 - M -  EMBASE NUE PROTO POUR BE;Non;Non;04/12/2017;06/10/2017;10;VBE
AE;2105011;10;ARDEN EQUIPMENT FOIRE/PRET;;CODIF;QA12 H - EMBASE NUE PROTOTYPE POUR BE;Non;Non;04/12/2017;06/10/2017;10;VBE
AE;2101929;60;FCE TP STE NOUVELLE;;CODIF;C10R22 1400MM EN QA11 REVERSIBLE CLBR;Non;Non;09/11/2017;06/10/2017;10;VBE
